modelo,error de dispersion,error de curtosis,error de correlacion,novedad,mejor variacion
cGAN,0.03989070653915405,0.6874680519104004,0.11007137802689362,1.0414085,0.0
CVAE,0.1936083547770977,0.9143362045288086,0.5017905403411379,0.56053984,0.03205782175478178
Diffusion,0.15099966526031494,2.1684014797210693,0.16904089199231115,1.450399,0.028914323556675003
Ruido gaussiano,0.006652265787124634,0.36855649948120117,0.01640970058775232,0.22321323,0.04178525221237178
