modelo,ratio,pr_auc_media,pr_auc_std,pr_auc_val_media,pr_auc_val_std,f1_media,f1_std,recall_media,precision_media,n_sinteticos
cvae,0.0,0.22234273921597797,0.10278672040619768,0.3250713500488939,0.03425523465777275,0.22769329572678734,0.059930435664181984,0.31275720164609055,0.21097960502235308,0
cvae,0.25,0.268941435693626,0.046681762031615275,0.30981392311211897,0.01852009217217096,0.25529081460827946,0.02630417797303501,0.31934156378600825,0.2767598594381247,750
cvae,0.5,0.22288982638855587,0.07105498193459561,0.2997095989069664,0.01507934817741686,0.19548307482657462,0.052770002572248134,0.3432098765432099,0.16640585869899752,1500
cvae,1.0,0.22251202151329963,0.03848391114616332,0.30685952900486935,0.007345047252143851,0.25149271024800557,0.038547228697151326,0.3135802469135802,0.22891765011533036,3000
cvae,2.0,0.22576646576717482,0.03700039807079304,0.2864350124017461,0.021211601838795124,0.22839836704858052,0.021674881948620314,0.2748971193415638,0.22452857212335187,6000
cvae,4.0,0.20632261950026076,0.05280117781623397,0.2677993089772981,0.034165984626176135,0.19778416133346827,0.034320168052345904,0.43950617283950616,0.1670840871409434,12000
