modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
cgan,0.0,42,3000,0,0.33689770340312153,0.3280489171265861,0.6254672373742733,0.2770083102493075,0.3492723492723493,0.423728813559322,0.205761316872428,0.8699999999999999,2026,68,193,50,14
cgan,0.0,43,3000,0,0.28417715142831645,0.3579290673929324,0.6615884695052687,0.2658959537572254,0.39373601789709173,0.18488745980707397,0.4732510288065844,0.38999999999999996,1587,507,128,115,19
cgan,0.0,44,3000,0,0.13568977154335488,0.30704021779259266,0.5467669728520838,0.1686746987951807,0.32967032967032966,0.125,0.25925925925925924,0.27999999999999997,1653,441,180,63,15
cgan,0.0,45,3000,0,0.11988369707406951,0.3166186609270124,0.5356279552395439,0.170873786407767,0.32671081677704195,0.11181702668360864,0.36213991769547327,0.19,1395,699,155,88,16
cgan,0.0,46,3000,0,0.24974836241098497,0.34712597149530205,0.6052684330302923,0.2315202231520223,0.4116575591985428,0.1751054852320675,0.34156378600823045,0.5599999999999999,1703,391,160,83,16
cgan,0.25,42,3000,750,0.32554542248700546,0.32227169887683665,0.6027096819837986,0.26666666666666666,0.34375,0.35374149659863946,0.2139917695473251,0.7799999999999999,1999,95,191,52,13
cgan,0.25,43,3000,750,0.20655701211370428,0.35646603830184154,0.6130115045534763,0.23974763406940064,0.3898635477582846,0.19437340153452684,0.31275720164609055,0.7999999999999999,1779,315,167,76,16
cgan,0.25,44,3000,750,0.27524303405672246,0.35175190046709376,0.5750370448980233,0.2198581560283688,0.3747927031509121,0.15422885572139303,0.38271604938271603,0.58,1584,510,150,93,15
cgan,0.25,45,3000,750,0.126220845542801,0.3465355960107914,0.5500135602013985,0.09937888198757763,0.3324538258575198,0.20253164556962025,0.06584362139917696,0.05,2031,63,227,16,23
cgan,0.25,46,3000,750,0.14139968940196737,0.32207267662076505,0.5043412296940897,0.19476744186046513,0.3540489642184557,0.15056179775280898,0.2757201646090535,0.19,1716,378,176,67,16
cgan,0.5,42,3000,1500,0.13371530594540415,0.32309333705498877,0.5697937670239485,0.12673267326732673,0.33407572383073497,0.12213740458015267,0.13168724279835392,0.06,1864,230,211,32,19
cgan,0.5,43,3000,1500,0.2196027857250868,0.35740038829253185,0.5949744714469325,0.22650056625141562,0.38045375218150085,0.15625,0.411522633744856,0.33999999999999997,1554,540,143,100,16
