modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
baseline,0.0,42,3000,0,0.33689770340312153,0.3280489171265861,0.6254672373742733,0.2770083102493075,0.3492723492723493,0.423728813559322,0.205761316872428,0.8699999999999999,2026,68,193,50,14
baseline,0.0,43,3000,0,0.28417715142831645,0.3579290673929324,0.6615884695052687,0.2658959537572254,0.39373601789709173,0.18488745980707397,0.4732510288065844,0.38999999999999996,1587,507,128,115,19
baseline,0.0,44,3000,0,0.13568977154335488,0.30704021779259266,0.5467669728520838,0.1686746987951807,0.32967032967032966,0.125,0.25925925925925924,0.27999999999999997,1653,441,180,63,15
baseline,0.0,45,3000,0,0.11988369707406951,0.3166186609270124,0.5356279552395439,0.170873786407767,0.32671081677704195,0.11181702668360864,0.36213991769547327,0.19,1395,699,155,88,16
baseline,0.0,46,3000,0,0.24974836241098497,0.34712597149530205,0.6052684330302923,0.2315202231520223,0.4116575591985428,0.1751054852320675,0.34156378600823045,0.5599999999999999,1703,391,160,83,16
