modelo,PR-AUC test sin sinteticos,mejor PR-AUC test,ratio del mejor,variacion,p,PR-AUC val sin sinteticos,PR-AUC val en ese ratio,desviacion entre semillas
Ruido gaussiano,0.2252793371719694,0.2670645893843412,0.25,0.04178525221237178,0.1860029113694226,0.33135256694688514,0.33757421245126396,0.05598048113436415
CVAE,0.2252793371719694,0.2573371589267512,0.25,0.03205782175478178,0.3850715739216998,0.33135256694688514,0.31165084016679045,0.06424985112392778
Diffusion,0.2252793371719694,0.2541936607286444,0.25,0.028914323556675003,0.21473668275774607,0.33135256694688514,0.30656204301621315,0.06033365019570119
cGAN,0.2252793371719694,0.2252793371719694,0.0,0.0,,0.33135256694688514,0.33135256694688514,0.0944204382292364
