Date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM
1962-01-02,0.880942702293396,0.1909309923648834,0.4614762961864471,0.280890554189682,0.3025345206260681,0.0566209852695465,0.383522093296051,0.2368662357330322,0.1674332916736602,0.6164759397506714,1.0091766119003296,0.0384647436439991,1.4344488382339478,0.8087159991264343,0.0597017742693424,0.0444573611021041,0.031476005911827,0.5496804118156433,0.0023493207991123,0.0632872655987739,0.6116467714309692,0.2426489144563675,0.0875881388783454
1962-01-03,0.8793372511863708,0.1947496831417083,0.4659716188907623,0.2781456410884857,0.3018514513969421,0.0573809407651424,0.3803652226924896,0.2368662357330322,0.1730376929044723,0.6102908253669739,1.020541429519653,0.0380524769425392,1.4469877481460571,0.797675371170044,0.0587736181914806,0.0434668473899364,0.0321372598409652,0.5538135766983032,0.0023062175605446,0.0606355369091033,0.6098687052726746,0.2399968802928924,0.0888889878988266
1962-01-04,0.8665008544921875,0.1928402483463287,0.4779572784900665,0.2781456410884857,0.2991200387477875,0.0573809407651424,0.3772090077400207,0.2361353039741516,0.1737383157014846,0.6030744314193726,1.0273605585098269,0.0372281670570373,1.4325683116912842,0.7949151396751404,0.0581551380455493,0.0437971353530883,0.0320050306618213,0.5538135766983032,0.0023223836906254,0.0600168779492378,0.6045351624488831,0.2360189110040664,0.0891058146953582
1962-01-05,0.8472456336021423,0.1890215575695037,0.4824526607990265,0.27143594622612,0.2916076779365539,0.0575710907578468,0.3693174123764038,0.2310176491737365,0.1744388788938522,0.5876113772392273,1.0250872373580933,0.0364042557775974,1.404355525970459,0.8031951785087585,0.0572268851101398,0.0428066477179527,0.031211495399475,0.5393481850624084,0.0023493207991123,0.057983860373497,0.6009790301322937,0.2343614101409912,0.0871546417474746
1962-01-08,0.8408269882202148,0.1894987672567367,0.4854490160942077,0.2683861255645752,0.2902418971061706,0.0573809407651424,0.3701065480709076,0.2321142703294754,0.1772411167621612,0.5865803956985474,1.029632806777954,0.0369537509977817,1.3780242204666138,0.7866354584693909,0.0562990233302116,0.0423664860427379,0.0310792475938797,0.5362480878829956,0.0023331581614911,0.0581605993211269,0.5903099775314331,0.2280631214380264,0.0869377329945564
1962-01-09,0.8344081044197083,0.1899762898683548,0.4899438917636871,0.2683861255645752,0.2943397164344787,0.0585211962461471,0.3708959519863128,0.2317488044500351,0.1779417693614959,0.5896734595298767,1.0273605585098269,0.0375029630959034,1.3943238258361816,0.7755948305130005,0.056917667388916,0.0431367307901382,0.0304179973900318,0.5362480878829956,0.0022900530602782,0.0584258176386356,0.5760859847068787,0.2277316898107528,0.0867209658026695
1962-01-10,0.8472456336021423,0.1899762898683548,0.4839507341384887,0.2683861255645752,0.2943397164344787,0.0590910166501998,0.3724739551544189,0.2310176491737365,0.180043339729309,0.5927658677101135,1.0069035291671753,0.037777692079544,1.3968322277069092,0.7700741291046143,0.0581551380455493,0.0433567836880683,0.030682461336255,0.5300487279891968,0.0022792781237512,0.0593980811536312,0.5885327458381653,0.2283946424722671,0.0862873569130897
1962-01-11,0.845641016960144,0.1918854713439941,0.4914421737194061,0.2671662271022796,0.3018514513969421,0.0608010478317737,0.3740522861480713,0.2321142703294754,0.1891505122184753,0.5937963724136353,1.0069035291671753,0.0376404672861099,1.4118785858154297,0.7700741291046143,0.0578456558287143,0.0437971353530883,0.0301534458994865,0.5279824137687683,0.0022738899569958,0.0595749430358409,0.5849761366844177,0.2280631214380264,0.0871546417474746
1962-01-12,0.8584778308868408,0.1971360892057418,0.4944394528865814,0.269606202840805,0.3011687695980072,0.058901485055685,0.3779979348182678,0.2339420616626739,0.1905515789985656,0.5855495929718018,0.9978126883506776,0.0373657271265983,1.4143866300582886,0.7673140168190002,0.0572268851101398,0.0434668473899364,0.0305502377450466,0.5176504850387573,0.0022792781237512,0.0593980811536312,0.5974231362342834,0.2293894737958908,0.0884554237127304
1962-01-15,0.8472456336021423,0.19331756234169,0.4929412305355072,0.269606202840805,0.2963882684707641,0.058901485055685,0.3724739551544189,0.2346727550029754,0.1863483935594558,0.5917351245880127,0.9796290397644044,0.0368162207305431,1.4206558465957642,0.7535140514373779,0.0572268851101398,0.0430266857147216,0.030285719782114,0.5228164196014404,0.0022631145548075,0.0588677264750003,0.6205375790596008,0.2280631214380264,0.0884554237127304
